date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-09-21,Arsenal,77.2,35.9,0.4787,0.9568,0.9916,0.0,2,market_implied
2026-09-21,Man City,76.1,32.9,0.3956,0.9394,0.9893,0.0,2,market_implied
2026-09-21,Liverpool,65.8,22.1,0.0496,0.586,0.8336,0.0002,4,market_implied
2026-09-21,Chelsea,63.9,16.6,0.0296,0.4712,0.7613,0.0004,5,market_implied
2026-09-21,Brighton,63.0,22.2,0.0289,0.4424,0.7294,0.0003,5,market_implied
2026-09-21,Man United,60.2,14.5,0.0126,0.2889,0.5795,0.0021,6,market_implied
2026-09-21,Leeds,56.3,6.4,0.0035,0.1316,0.366,0.0074,8,market_implied
2026-09-21,Bournemouth,52.1,2.6,0.0006,0.0496,0.1848,0.0269,10,market_implied
2026-09-21,Brentford,52.0,1.7,0.0003,0.0532,0.1788,0.0274,10,market_implied
2026-09-21,Nott'm Forest,48.7,-4.5,0.0001,0.0212,0.089,0.0663,12,market_implied
2026-09-21,Ipswich,48.2,-10.0,0.0001,0.0134,0.0678,0.0764,12,market_implied
2026-09-21,Everton,47.6,-5.9,0.0001,0.0143,0.0667,0.0836,12,market_implied
2026-09-21,Newcastle,47.0,-8.4,0.0002,0.0115,0.055,0.0982,13,market_implied
2026-09-21,Hull,46.3,-10.0,0.0001,0.0095,0.0461,0.1137,13,market_implied
2026-09-21,Sunderland,44.1,-12.4,0.0,0.0042,0.0255,0.1879,14,market_implied
2026-09-21,Aston Villa,43.2,-12.9,0.0,0.0035,0.0211,0.2214,15,market_implied
2026-09-21,Coventry,39.6,-20.8,0.0,0.0019,0.0066,0.4097,17,market_implied
2026-09-21,Crystal Palace,38.6,-22.6,0.0,0.0009,0.0037,0.4632,17,market_implied
2026-09-21,Fulham,38.0,-18.2,0.0,0.0005,0.0038,0.481,17,market_implied
2026-09-21,Tottenham,33.7,-29.3,0.0,0.0,0.0004,0.7339,19,market_implied
