date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-09-10,Arsenal,76.4,35.0,0.5539,0.9544,0.9899,0.0,1,market_implied
2026-09-10,Man City,72.0,27.9,0.2576,0.8825,0.9684,0.0,2,market_implied
2026-09-10,Chelsea,66.1,19.3,0.0776,0.6492,0.865,0.0002,4,market_implied
2026-09-10,Liverpool,64.2,18.8,0.0573,0.551,0.8031,0.0003,4,market_implied
2026-09-10,Man United,63.0,17.7,0.043,0.4846,0.7589,0.0011,5,market_implied
2026-09-10,Bournemouth,53.6,4.3,0.0019,0.0988,0.2834,0.0266,9,market_implied
2026-09-10,Leeds,53.3,1.4,0.0031,0.087,0.2578,0.0301,9,market_implied
2026-09-10,Brentford,52.6,2.2,0.0019,0.0773,0.2366,0.036,9,market_implied
2026-09-10,Brighton,51.3,1.7,0.001,0.0587,0.1859,0.0483,10,market_implied
2026-09-10,Newcastle,50.6,-1.8,0.0014,0.0454,0.1629,0.0617,11,market_implied
2026-09-10,Everton,49.0,-4.2,0.0005,0.0301,0.1154,0.0881,12,market_implied
2026-09-10,Aston Villa,47.4,-7.5,0.0002,0.0193,0.0804,0.1322,13,market_implied
2026-09-10,Sunderland,46.8,-8.1,0.0002,0.0163,0.0701,0.1455,13,market_implied
2026-09-10,Hull,46.6,-10.1,0.0,0.0139,0.0608,0.1516,13,market_implied
2026-09-10,Nott'm Forest,45.2,-8.6,0.0001,0.0093,0.0468,0.1962,14,market_implied
2026-09-10,Ipswich,45.1,-13.2,0.0002,0.0095,0.0431,0.2066,14,market_implied
2026-09-10,Coventry,44.7,-10.1,0.0001,0.008,0.0435,0.2238,14,market_implied
2026-09-10,Crystal Palace,42.6,-17.2,0.0,0.0041,0.0222,0.3257,16,market_implied
2026-09-10,Fulham,37.9,-19.0,0.0,0.0003,0.005,0.5717,18,market_implied
2026-09-10,Tottenham,34.4,-28.4,0.0,0.0003,0.0008,0.7543,19,market_implied
